Nome	CPF	Email	Telefone	CEP	Logradouro	Complemento	Bairro	UF	Matrícula	CargoId
Larissa Santos	21926452950	larissa.santos@empresa.com	(41) 95432-3456	80000013	R. XV de Novembro, 1000	Casa	Centro	PR	2023013	3
Marcelo Ribeiro	52917622920	marcelo.ribeiro@empresa.com	(51) 94321-7890	90000014	Av. Osvaldo Aranha, 500	Fundos	Bom Fim	RS	2023014	4
Natália Pires	76770587793	natalia.pires@empresa.com	(61) 93210-2345	70000015	SGAS 610, Bloco C	Sala 50	Asa Sul	DF	2023015	5
Otávio Rocha	71834433886	otavio.rocha@empresa.com	(71) 92109-6789	40000016	Rua Chile, 30	Edifício Alpha	Comércio	BA	2023016	6
Patrícia Mendes	35586580861	patricia.mendes@empresa.com	(81) 91098-0123	50000017	Av. Conselheiro Aguiar, 100	Apt 1001	Pina	PE	2023017	7
Rafael Duarte	39524808358	rafael.duarte@empresa.com	(91) 90987-4567	66000018	Tv. Dr. Moraes, 200	Cj 12	Nazaré	PA	2023018	8
Sofia Castro	77623039369	sofia.castro@empresa.com	(11) 98765-8901	01000019	Av. Paulista, 1500	20º Andar	Cerqueira César	SP	2023019	9
Thiago Lima	43610798386	thiago.lima@empresa.com	(21) 97654-2109	20000020	Rua da Lapa, 80	Sala 4	Lapa	RJ	2023020	10
Ursula Dantas	18192065057	ursula.dantas@empresa.com	(31) 96543-5678	30000021	Rua Cláudio Manuel, 90	Loja 2	Santo Antônio	MG	2023021	1
Victor Barreto	32808772459	victor.barreto@empresa.com	(41) 95432-9012	80000022	Rua das Rosas, 500	Casa 2	Água Verde	PR	2023022	2
Wallace Gomes	32494428793	wallace.gomes@empresa.com	(51) 94321-3456	90000023	Av. Loureiro da Silva, 120	Apt 30	Centro Histórico	RS	2023023	3
Xênia Paiva	85839149233	xenia.paiva@empresa.com	(61) 93210-7890	70000024	SMDB Conj. 12	Casa 1	Lago Sul	DF	2023024	4
Yasmin Freire	35845734240	yasmin.freire@empresa.com	(71) 92109-2345	40000025	Rua dos Bancários, 10	Andar 1	Pituba	BA	2023025	5
Zeca Pires	16687371401	zeca.pires@empresa.com	(81) 91098-6789	50000026	Av. Boa Viagem, 2000	Apt 202	Setúbal	PE	2023026	6
Amanda Dutra	39289122242	amanda.dutra@empresa.com	(91) 90987-0123	66000027	Av. Gentil Bittencourt, 1000	Sala 500	São Brás	PA	2023027	7
Bernardo Cordeiro	54250847144	bernardo.cordeiro@empresa.com	(11) 98765-4567	01000028	Rua Haddock Lobo, 400	Cj 10	Jardins	SP	2023028	8
Cecília Guedes	06401687797	cecilia.guedes@empresa.com	(21) 97654-8901	20000029	Rua do Lavradio, 70	Sobrado	Centro	RJ	2023029	9
Diego Noronha	42513354141	diego.noronha@empresa.com	(31) 96543-2109	30000030	R. Pernambuco, 100	Sala 1	Sion	MG	2023030	10
Elisa Franco	80065276876	elisa.franco@empresa.com	(41) 95432-5678	80000031	R. Desembargador Motta, 100	Apt 120	Centro	PR	2023031	1
Fábio Nunes	10317668048	fabio.nunes@empresa.com	(51) 94321-9012	90000032	Av. Independência, 800	Bloco C	Independência	RS	2023032	2
Giselle Campos	19380704887	giselle.campos@empresa.com	(61) 93210-3456	70000033	SHIS QL 06	Casa 3	Lago Sul	DF	2023033	3
Hugo Vasconcelos	64955147194	hugo.vasconcelos@empresa.com	(71) 92109-7890	40000034	Rua da Graça, 20	Edifício D	Graça	BA	2023034	4
Ingrid Queiroz	29959758605	ingrid.queiroz@empresa.com	(81) 91098-2345	50000035	Rua Barão de Souza Leão, 500	Apt 500	Piedade	PE	2023035	5
Jorge Mendes	49775094470	jorge.mendes@empresa.com	(91) 90987-6789	66000036	Av. Alcindo Cacela, 1200	Loja 10	Umarizal	PA	2023036	6
Karina Siqueira	32635733309	karina.siqueira@empresa.com	(11) 98765-0123	01000037	R. Oscar Freire, 1000	Sala 120	Pinheiros	SP	2023037	7
Leonardo Farias	63761345305	leonardo.farias@empresa.com	(21) 97654-4567	20000038	R. Visconde de Pirajá, 300	Cj 5	Ipanema	RJ	2023038	8
Mariana Alves	13996106947	mariana.alves@empresa.com	(31) 96543-8901	30000039	R. Santa Rita Durão, 200	Apt 10	Lourdes	MG	2023039	9
Nuno Gomes	55239997926	nuno.gomes@empresa.com	(41) 95432-2109	80000040	Av. Cândido Hartmann, 50	Sobrado	Mercês	PR	2023040	10
Olivia Resende	71982038411	olivia.resende@empresa.com	(51) 94321-5678	90000041	Rua da República, 150	Sala 30	Cidade Baixa	RS	2023041	1
Pedro Vasquez	55893723562	pedro.vasquez@empresa.com	(61) 93210-9012	70000042	QI 03, Bloco A	Loja 2	Lago Norte	DF	2023042	2
Renata Sales	58908304142	renata.sales@empresa.com	(71) 92109-3456	40000043	Av. Sete de Setembro, 1000	Apt 707	Vitória	BA	2023043	3
Samuel Miranda	38625957226	samuel.miranda@empresa.com	(81) 91098-7890	50000044	Av. Engenheiro Boa Viagem, 1000	Sala 4	Boa Viagem	PE	2023044	4
Tainá Lins	61224504992	taina.lins@empresa.com	(91) 90987-2345	66000045	Trav. Padre Eutíquio, 300	Cj 1	Batista Campos	PA	2023045	5
Ulysses Neves	91034446860	ulysses.neves@empresa.com	(11) 98765-6789	01000046	R. Vergueiro, 2000	Apt 150	Vila Mariana	SP	2023046	6
Vanessa Brito	46443020316	vanessa.brito@empresa.com	(21) 97654-0123	20000047	Rua da Consolação, 50	Sala 10	Centro	RJ	2023047	7
Wagner Elias	81607504553	wagner.elias@empresa.com	(31) 96543-4567	30000048	R. Timbiras, 50	Edifício Beta	Funcionários	MG	2023048	8
Ximena Flores	56008333853	ximena.flores@empresa.com	(41) 95432-8901	80000049	R. Marechal Deodoro, 120	Loja 5	Centro	PR	2023049	9
Yara Rocha	99858053800	yara.rocha@empresa.com	(51) 94321-2109	90000050	Av. Protásio Alves, 100	Fundos	Rio Branco	RS	2023050	10
